playerType,propReturnB,propSendA,age,defMax,volSav,dropG
A,,1,43,358,159,1
A,,0,0,0,85,0
A,,0,40,0,33,0
A,,0.333333343,40,0,20,0
A,,0.333333343,57,0,526,0
A,,0.666666687,28,0,4,0
A,,0.666666687,38,341.6600037,115,0
A,,0.666666687,19,0,1,1
A,,0.666666687,39,0,19,0
A,,1,51,124,172,0
A,,1,37,0,279,0
A,,0,42,249.5,44.34000015,1
A,,0,49,5,0,0
A,,0,23,0,2.340000153,0
A,,0.333333343,33,70,0,0
A,,0.333333343,37,31,25,0
A,,0.333333343,22,197.1799927,6.340000153,1
A,,0.666666687,26,144,3.340000153,1
A,,0.666666687,28,33,17,0
A,,0.666666687,30,185,10.34000015,1
A,,0.333333343,21,108.75,17,0
A,,0.333333343,27,86.93000031,31,1
A,,0.333333343,31,536.75,236,0
A,,0.666666687,35,142.75,8,0
A,,0.666666687,44,164.7600098,28,1
A,,1,41,14.5,82,1
A,,1,48,108.6999969,52,0
A,,0,57,0,516,0
A,,0.333333343,61,0,340,0
A,,0.333333343,18,52.75,1,0
A,,0.666666687,30,246,35,1
A,,0.666666687,38,36.25,6,0
A,,1,23,0,399,0
A,,0,34,110,30,0
A,,0.666666687,27,0,17,0
A,,0.666666687,42,0,67,0
A,,0.666666687,20,0,11,0
A,,1,55,31,2,0
A,,0,49,0,406,0
A,,0,24,0,321,0
A,,0.333333343,34,0,16,0
A,,0.333333343,36,0,13,0
A,,0.333333343,43,0,41,0
A,,0.333333343,35,0,0,0
A,,0.333333343,85,0,68,0
A,,0.333333343,24,0,63,0
A,,0.333333343,42,0,786,0
A,,1,46,56,4,1
A,,1,28,0,411,0
A,,1,46,0,73,0
A,,0.666666687,40,43.5,55,1
A,,0.666666687,38,0,0,1
A,,1,58,0,51,0
A,,1,47,14.47999954,0,1
A,,0,36,171.9100037,5,1
A,,0,41,119.9599991,0,1
A,,0,23,0,58,0
A,,0.333333343,24,0,90,1
A,,0.333333343,36,0,7,0
A,,0.666666687,45,103,4,1
A,,0.666666687,36,0,133,0
A,,1,23,0,0,0
A,,1,48,71.75,8,1
A,,0,48,0,31,0
A,,0,33,0,0,0
A,,0,22,0,198,0
A,,0,24,0,161,0
A,,0,17,76.01000214,3,1
A,,0,0,44.09999847,0,1
A,,0.333333343,37,59.24000168,160,0
A,,0.333333343,19,0,422,0
A,,0.333333343,19,81,16,1
A,,0.333333343,0,0,0,1
A,,0.333333343,0,57,27,0
A,,0.333333343,0,51,3,0
A,,0.666666687,0,53,27,0
A,,0,34,0,109.1399994,0
A,,0,34,18.10000038,2,0
A,,0,19,82,40,0
A,,0,35,0,0,0
A,,0,38,309,194.1399994,0
A,,0,55,0,40.13999939,0
A,,0.333333343,32,0,70.13999939,0
A,,0.333333343,45,0,40.13999939,0
A,,0.333333343,39,79,136.1600037,1
A,,1,33,32.58000183,6,1
A,,0,35,74.69999695,1,0
A,,0,18,145.9799957,20,0
A,,0,25,87.59999847,1,1
A,,0.333333343,18,65.25,15,0
A,,0.666666687,24,91,32,0
A,,0.666666687,24,21.75,90,0
A,,1,75,0,6,0
